rendszam,ido_mp,osszeg,fizetesi_mod
WUQ-500,5451,5509,kártya
YPG-830,4914,18481,kártya
SDB-179,6598,19358,-
JVA-475,4323,12567,-
XOU-302,4352,2338,kártya
HBL-847,3509,6065,kártya
UJP-822,727,10997,kártya
FLH-425,573,16546,készpénz
GDP-492,7131,17705,csekk
UJB-765,6201,3264,csekk
VLU-266,3153,5322,utalás
BMG-819,5129,17975,készpénz
HTG-841,1240,18233,készpénz
CDJ-624,5237,3636,utalás
TUA-699,7042,6699,készpénz
GND-146,378,18693,csekk
ODY-316,4102,4648,-
ILG-166,688,16397,kártya
ULL-844,6972,18547,kártya
TSN-131,4906,16176,utalás
MPR-153,4037,5737,csekk
UCG-897,641,18817,csekk
NZW-915,3031,5027,készpénz
TTS-060,6146,9310,-
NKT-907,515,17029,készpénz
XXQ-185,5394,15653,utalás
FAR-912,3733,19678,csekk
THL-128,6926,17229,csekk
HYN-799,727,12214,-
PKX-938,4861,19795,utalás
CPL-328,2643,6547,készpénz
KZW-732,1062,9704,csekk
XTI-783,3496,15784,-
SCB-615,7122,1555,készpénz
OUP-193,4195,14243,kártya
QBD-778,5940,4761,-
CPJ-799,7198,7177,készpénz
FHB-823,2824,15651,csekk
AYR-624,5371,4955,-
ZXO-940,2026,1203,készpénz
GLJ-048,4922,6307,kártya
RUG-352,7140,15327,készpénz
YEH-667,1029,2428,utalás
RZO-749,1183,5198,készpénz
IBP-843,1812,4892,-
NHN-952,3498,15698,-
HIQ-043,2271,16122,csekk
JIT-038,1030,11818,készpénz
KBZ-287,4258,6210,utalás
AKW-517,1576,13778,készpénz
VDU-421,3466,3662,-
UXX-093,4049,4214,kártya
UUZ-421,1429,15500,készpénz
QOF-358,3772,11117,utalás
PWH-971,6709,15925,kártya
IDR-572,3926,10930,készpénz
QWP-914,5732,4533,kártya
BBO-701,4946,10164,-
PDS-238,5185,1278,készpénz
CXN-319,2925,5939,-
JZH-194,1080,7498,-
RNQ-817,2373,11947,kártya
UKB-269,1279,10715,csekk
HOP-407,5433,10919,csekk
ZNC-571,1129,17620,-
ARM-096,907,3775,utalás
CHG-624,4951,13850,készpénz
KKD-313,1191,1300,csekk
IZX-913,3179,14841,készpénz
ITN-191,4608,5980,-
XVX-521,3218,17136,kártya
RLA-706,2206,2648,utalás
VQM-161,478,17098,utalás
SJY-813,3691,13281,utalás
DCO-391,2237,5643,csekk
JRS-740,4055,9437,csekk
UAP-487,6076,3981,-
YXH-632,3047,4994,kártya
TAD-601,6819,1219,csekk
BXE-463,4584,18716,csekk
NIE-010,397,12146,utalás
KKL-806,7078,13840,utalás
PPT-032,548,5828,-
NLS-678,4737,3145,-
QCR-961,1598,4694,utalás
EQR-099,3410,14697,utalás
EYT-940,1560,8127,utalás
LYM-930,1949,17233,csekk
GOX-953,7098,2694,készpénz
XUU-253,4952,16210,készpénz
MGA-386,6844,16939,-
NID-413,5564,9621,utalás
GWI-029,847,11349,csekk
SUU-803,6207,2639,csekk
OCV-654,4375,16663,utalás
MKH-692,5539,16435,-
KTV-502,2727,12216,-
VXW-391,783,13694,utalás
VAY-713,4235,10864,kártya
TPU-540,6598,13855,utalás
SDH-424,1493,11018,csekk
IDN-596,2692,5393,kártya
OZD-244,3865,1166,csekk
LHD-068,6235,11637,utalás
XRA-647,2621,4689,kártya
WGE-302,5940,11224,-
BSD-474,7035,7170,-
NDY-803,7199,5066,kártya
HSL-389,4777,2811,kártya
GKM-427,1321,3309,kártya
XXZ-460,983,15240,készpénz
SIK-094,6026,14173,kártya
EPI-998,2108,1836,készpénz
CUA-400,5742,12606,-
JTU-627,6007,6925,kártya
UPM-576,6490,6072,-
MAB-271,6127,10075,készpénz
MKC-193,6032,8352,-
KOT-597,5117,16175,utalás
UQE-514,1789,14918,csekk
